PARID,LUC,LUC_desc,PROPERTY_LOC,PropLoc_desc,PROPERTY_CLASS,NBHD,ZONING,WATER,Water_desc,DEGREE_REMOD,degree_remod_desc,YEAR_REMOD,YRBLT,COMM_YRBLT,X_CO,Y_CO,situs
0401 00940000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1900,,2522237,187260,402 CHURCH RD
0401 00940200,V-10,R - Vacant Land Residential,6,Neighborhood or Spot,R,04001000,R1,3,None,,Not Listed,,,,2522095,187240,434 MINOR ST
0401 00950000,V-10,R - Vacant Land Residential,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,,,2522370,187307,CHURCH ST
0401 00960000,V-10,R - Vacant Land Residential,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,,,2522418,187281,405 CHURCH ST
0401 00970000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,1989,1817,,2522395,187193,403 CHURCH ST
0401 00980000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1900,,2522380,187124,401 CHURCH ST
0401 00990000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,2016,,2522363,187029,325 CHURCH ST
0401 01000000,V-10,R - Vacant Land Residential,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,,,2522354,186991,321 CHURCH ST
0401 01000100,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1986,,2522350,186949,321 CHURCH ST
0401 01010000,V-10,R - Vacant Land Residential,6,Neighborhood or Spot,R,04001000,R1,3,None,,Not Listed,,,,2522309,186913,CHURCH ST
0401 01020000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1991,,2522370,186901,317 CHURCH ST
0401 01030000,R-80,"R - Barns,Stables,Pools,Misc Bldg",6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,,,2522333,186863,315 CHURCH ST
0401 01030100,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1920,,2522326,186826,313 CHURCH ST
0401 01040000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1900,,2522318,186770,311 CHURCH ST
0401 01050000,R-20,R - Two Family,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1900,,2522303,186691,307 CHURCH ST
0401 01060000,V-10,R - Vacant Land Residential,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,,,2522288,186633,CHURCH ST
0401 01070000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1900,,2522260,186592,301 CHURCH ST
0401 01070100,R-20,R - Two Family,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1950,,2522326,186581,401 E THIRD ST
0401 01080000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R2,1,Public,,Not Listed,,1900,,2520392,185719,14 W THIRD ST
0401 01080100,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R2,1,Public,,Not Listed,,1959,,2520323,185688,16 W THIRD ST
0401 01090000,R-10,R - Single Family/Cabin,5,Secondary Strip,R,04001000,R2,1,Public,,Not Listed,,1890,,2520475,185783,220 PENNSYLVANIA AVE
0401 01100000,R-60,R - Dwelling W/Comm Use Primary R,5,Secondary Strip,R,04001000,R2,1,Public,,Not Listed,,1876,,2520498,185736,218 PENNSYLVANIA AVE
0401 01110000,R-60,R - Dwelling W/Comm Use Primary R,5,Secondary Strip,R,04001000,R2,1,Public,,Not Listed,,1898,,2520473,185652,214 PENNSYLVANIA AVE
0401 01120000,R-80,"R - Barns,Stables,Pools,Misc Bldg",6,Neighborhood or Spot,R,04001000,R2,1,Public,,Not Listed,,,,2520485,185573,208 PENNSYLVANIA AVE
0401 01120100,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R2,1,Public,,Not Listed,,1959,,2520435,185526,15 W SECOND ST
0401 01120200,R-40,A - Aparments (4-19 Units),5,Secondary Strip,A,99045000,R2,1,Public,,Not Listed,,,1890,2520562,185617,208 PENNSYLVANIA AVE
0401 01130000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R2,1,Public,,Not Listed,,1950,,2520542,185540,19 W SECOND ST
0401 01140000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R2,1,Public,,Not Listed,,1947,,2520610,185573,200 PENNSYLVANIA AVE
0401 01150000,R-61,C - Dwelling W/Comm Use Primary C,5,Secondary Strip,C,99045000,R2,1,Public,,Not Listed,,,1910,2520782,185646,201 PENNSYLVANIA AVE
0401 01160000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R2,1,Public,,Not Listed,,1900,,2520758,185695,207 PENNSYLVANIA AVE
0401 01170000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R2,1,Public,,Not Listed,,1900,,2520732,185739,211 PENNSYLVANIA AVE
0401 01180000,R-40,A - Aparments (4-19 Units),6,Neighborhood or Spot,A,99046000,R2,1,Public,,Not Listed,,,1887,2520708,185800,215 PENNSYLVANIA AVE
0401 01190000,C-60,C - Office Bldgs/Laboratory/Library,5,Secondary Strip,C,99045000,R2,1,Public,,Not Listed,,,1894,2520676,185864,221 223 PENNSYLVANIA AVE
0401 01200000,C-90,"C - Entertainment, Recreation",6,Neighborhood or Spot,C,99046000,R2,1,Public,,Not Listed,,,1907,2520839,185927,220 CHATHAM ST
0401 01210000,R-20,R - Two Family,6,Neighborhood or Spot,R,04001000,R2,1,Public,,Not Listed,,1900,,2520867,185860,214 CHATHAM ST
0401 01220000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R2,1,Public,,Not Listed,,1900,,2520885,185814,210 CHATHAM ST
0401 01230000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R2,1,Public,,Not Listed,,1900,,2520914,185757,202 CHATHAM ST
0401 01240000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R2,1,Public,,Not Listed,,1900,,2520938,185705,200 CHATHAM ST
0401 01250000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R2,1,Public,,Not Listed,,1900,,2521104,185788,201 CHATHAM ST
0401 01260000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R2,1,Public,,Not Listed,,1900,,2521091,185818,203 CHATHAM ST
0401 01270000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R2,1,Public,,Not Listed,,1900,,2521073,185858,209 CHATHAM ST
0401 01280000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R2,1,Public,,Not Listed,,1900,,2521053,185902,213 CHATHAM ST
0401 01290000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R2,1,Public,,Not Listed,,1900,,2521031,185941,215 CHATHAM ST
0401 01300000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R2,1,Public,,Not Listed,1960,1890,,2521013,185985,219 CHATHAM ST
0401 01310000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R2,1,Public,,Not Listed,,1900,,2520995,186031,223 CHATHAM ST
0401 01320000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R2,1,Public,,Not Listed,,1900,,2521145,186064,202 E THIRD ST
0401 01330000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R2,1,Public,,Not Listed,,1900,,2521175,185997,216 NEW ST
0401 01340000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R2,1,Public,,Not Listed,,1900,,2521199,185943,212 NEW ST
0401 01350000,R-70,R - Mobile Home,6,Neighborhood or Spot,R,04001000,R2,1,Public,,Not Listed,,,,2521225,185881,206 NEW ST
0401 0135000T,T-10,R - Trailers and Mobile Homes,,#NAME?,R,00009000,R2,1,Public,,Not Listed,,,,2521225,185881,206 NEW ST
0401 01360000,V-10,R - Vacant Land Residential,6,Neighborhood or Spot,R,04001000,R2,1,Public,,Not Listed,,,,2521206,185833,200 HOOPES ALY
0401 01370000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R2,1,Public,,Not Listed,1977,1920,,2521256,185855,202 HOOPES ALY
0401 01380000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,C1,1,Public,6,Complete Rehab,2019,1870,,2520599,185460,132 PENNSYLVANIA AVE
0401 01390000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,C1,1,Public,,Not Listed,,1900,,2520592,185394,126 PENNSYLVANIA AVE
0401 01400000,C-30,"C - Restaurants, Stores (Retail)",5,Secondary Strip,C,99045000,C1,1,Public,,Not Listed,,,1915,2520702,185368,122 PENNSYLVANIA AVE
0401 01410000,C-60,C - Office Bldgs/Laboratory/Library,5,Secondary Strip,C,99045000,C1,1,Public,,Not Listed,,,1951,2520644,185263,112 PENNSYLVANIA AVE
0401 01420000,C-60,C - Office Bldgs/Laboratory/Library,5,Secondary Strip,C,99045000,C1,1,Public,,Not Listed,,,1775,2520682,185106,15 W STATE ST
0401 01430000,C-30,"C - Restaurants, Stores (Retail)",1,Central Business District,C,99045000,C1,1,Public,,Not Listed,,,1938,2520726,185124,103 W STATE ST
0401 01440000,C-96,C - Commercial OBY only,5,Secondary Strip,C,99045000,C1,1,Public,,Not Listed,,,,2520784,185202,116 PENNSYLVANIA AVE
0401 01450000,C-10,"C - Banks, Savings & Loan",5,Secondary Strip,C,99045000,C1,1,Public,,Not Listed,,,1978,2520938,185275,119 PENNSYLVANIA AVE
0401 0147000E,E-80,E - Non Profit Organizations,5,Secondary Strip,E,99045000,C1,1,Public,,Not Listed,,,1902,2520889,185402,121 PENNSYLVANIA AVE
0401 0148000E,E-80,E - Non Profit Organizations,5,Secondary Strip,E,99045000,C1,1,Public,,Not Listed,,,,2520861,185454,PENNSYLVANIA AVE
0401 01490000,R-20,R - Two Family,5,Secondary Strip,R,04001000,C1,1,Public,,Not Listed,,1900,,2520843,185490,125 127 PENNSYLVANIA AVE
0401 01500000,R-40,A - Aparments (4-19 Units),5,Secondary Strip,A,99045000,C1,1,Public,,Not Listed,,,1915,2520833,185525,129 PENNSYLVANIA AVE
0401 01510000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,C1,1,Public,,Not Listed,,1900,,2520815,185561,131 PENNSYLVANIA AVE
0401 01520000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,C1,1,Public,,Not Listed,,1900,,2520974,185629,120 E SECOND ST
0401 01530000,R-10,R - Single Family/Cabin,5,Secondary Strip,R,04001000,C1,1,Public,5,Kitchen Remodeling,1980,1900,,2520990,185581,118 CHATHAM ST
0401 0154000U,U-03,U - Public Utilities,6,Neighborhood or Spot,U,99046000,C1,1,Public,,Not Listed,,,1948,2521010,185535,131 CHATHAM ST
0401 01560000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,C1,1,Public,,Not Listed,,1900,,2521022,185406,121 MORRIS ST
0401 01570000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,C1,1,Public,,Not Listed,,1900,,2521087,185438,104 CHATHAM ST
0401 01570000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,C1,1,Public,,Not Listed,,1900,,2521087,185438,104 CHATHAM ST
0401 01580000,C-30,"C - Restaurants, Stores (Retail)",5,Secondary Strip,C,99045000,I1,1,Public,,Not Listed,,,1915,2520759,184912,90 W STATE ST
0401 01590000,C-96,C - Commercial OBY only,5,Secondary Strip,C,99045000,I1,1,Public,,Not Listed,,,,2520872,184919,W STATE ST
0401 01600000,C-30,"C - Restaurants, Stores (Retail)",5,Secondary Strip,C,99045000,I1,1,Public,,Not Listed,,,1924,2520862,185064,60 W STATE ST
0401 01610000,R-20,R - Two Family,6,Neighborhood or Spot,R,04001000,C1,1,Public,,Not Listed,,1900,,2520953,184963,94 PENNSYLVANIA AVE
0401 01620000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,C1,1,Public,,Not Listed,,1986,,2521321,184846,204 CHURCH ST
0401 01630000,C-80,C - Warehouse,5,Secondary Strip,C,99045000,C1,1,Public,,Not Listed,,,1959,2521384,185118,202 204 CHURCH ST
0401 01630000,C-80,C - Warehouse,5,Secondary Strip,C,99045000,C1,1,Public,,Not Listed,,,1984,2521384,185118,202 204 CHURCH ST
0401 01640000,R-40,A - Aparments (4-19 Units),5,Secondary Strip,A,99045000,C1,1,Public,,Not Listed,,,1900,2521222,184928,91 PENNSYLVANIA AVE
0401 01650000,C-30,"C - Restaurants, Stores (Retail)",5,Secondary Strip,C,99045000,C1,1,Public,,Not Listed,,,1878,2521103,185048,93 PENNSYLVANIA AVE
0401 01660000,C-96,C - Commercial OBY only,5,Secondary Strip,C,99045000,C1,1,Public,,Not Listed,,,,2521056,185090,95 PENNSYLVANIA AVE
0401 01670000,C-30,"C - Restaurants, Stores (Retail)",5,Secondary Strip,C,99045000,C1,1,Public,,Not Listed,,,1963,2521017,185176,94 PENNSYLVANIA AVE
0401 01690000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,C1,1,Public,6,Complete Rehab,2022,1900,,2521273,185424,105 CHATHAM ST
0401 01700000,R-30,R - Multi Family/Dorms/Single,6,Neighborhood or Spot,R,04001000,C1,1,Public,,Not Listed,,1900,,2521253,185475,107 CHATHAM ST
0401 01710000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,C1,1,Public,,Not Listed,2009,1900,,2521226,185532,109 CHATHAM ST
0401 01720000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,C1,1,Public,,Not Listed,,1900,,2521204,185577,111 CHATHAM ST
0401 01730000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,C1,1,Public,,Not Listed,,2018,,2521185,185615,113 CHATHAM ST
0401 01740000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,C1,1,Public,1,Cosmetic Redecoration,2018,1850,,2521168,185652,121 CHATHAM ST
0401 01750000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,C1,1,Public,5,Kitchen Remodeling,1989,1850,,2521149,185686,123 CHATHAM ST
0401 01760000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,C1,1,Public,5,Kitchen Remodeling,1975,1850,,2521138,185722,125 CHATHAM ST
0401 01770000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,C1,1,Public,,Not Listed,,1850,,2521262,185726,218 E SECOND ST
0401 01780000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,C1,1,Public,,Not Listed,,1956,,2521319,185756,220 E SECOND ST
0401 01790000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,C1,1,Public,5,Kitchen Remodeling,1994,1923,,2521381,185799,222 E SECOND ST
0401 01800000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,C1,2,Private,,Not Listed,,2017,,2521375,185635,3 HOOPES ALY
0401 0181000E,E-71,E - Local Gov't Parks,6,Neighborhood or Spot,E,99046000,R1,1,Public,,Not Listed,,,,2521697,185982,THIRD ST
0401 01810100,R-90,A - Apt Complex (20 or more units,5,Secondary Strip,A,99045000,C1,1,Public,,Not Listed,,,1973,2521239,185205,202 FIRST ST
0401 01820000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,5,Kitchen Remodeling,1940,1900,,2521392,185924,203 NEW ST
0401 01830000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,1994,1900,,2521373,185955,205 NEW ST
0401 01840000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,5,Kitchen Remodeling,1940,1900,,2521364,185994,207 NEW ST
0401 01850000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,3,Living room/Family room/Bedroom  Remodel/Addition,2021,1900,,2521341,186029,215 NEW ST
0401 01850100,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1900,,2521329,186063,217 NEW ST
0401 01860000,R-20,R - Two Family,6,Neighborhood or Spot,R,04001000,R1,1,Public,5,Kitchen Remodeling,1960,1864,,2521310,186109,221 NEW ST
0401 01870000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,5,Kitchen Remodeling,1960,1870,,2521287,186162,225 NEW ST
0401 01880000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,5,Kitchen Remodeling,1940,1880,,2521397,186172,302 E THIRD ST
0401 01890000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,4,Bathroom Remodeling,1930,1860,,2521455,186213,304 E THIRD ST
0401 01900000,R-20,R - Two Family,6,Neighborhood or Spot,R,04001000,R1,1,Public,5,Kitchen Remodeling,1940,1900,,2521552,186287,306 E THIRD ST
0401 01910000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1900,,2521877,186512,314 E THIRD ST
0401 01920000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1984,,2521865,186479,312 E THIRD ST
0401 0192010E,E-70,E - Local Gov't (Townships & Boroughs),6,Neighborhood or Spot,E,04001000,R1,1,Public,,Not Listed,,,,2521798,186495,316 E THIRD ST
0401 01930000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,5,Kitchen Remodeling,1940,1910,,2522037,186496,318 E THIRD ST
0401 01940000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,5,Kitchen Remodeling,1950,1896,,2522132,186501,248 CHURCH ST
0401 01950000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1886,,2521979,186416,246 CHURCH ST
0401 01950000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1981,,2521979,186416,246 CHURCH ST
0401 01960000,V-10,R - Vacant Land Residential,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,,,2521855,186349,236 CHURCH ST
0401 01970100,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1992,,2522110,186378,242 CHURCH ST
0401 01980000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,5,Kitchen Remodeling,1940,1920,,2522066,186333,240 CHURCH ST
0401 01990000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1968,,2521947,186348,238 CHURCH ST
0401 01990100,V-10,R - Vacant Land Residential,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,,,2521986,186272,226 CHURCH ST
0401 02000000,V-10,R - Vacant Land Residential,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,,,2521981,186234,222 CHURCH ST
0401 02010000,V-10,R - Vacant Land Residential,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,,,2521989,186190,224 CHURCH ST
0401 02020000,V-10,R - Vacant Land Residential,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,,,2521995,186143,220 CHURCH ST
0401 02030000,V-10,R - Vacant Land Residential,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,,,2522004,186104,218 CHURCH ST
0401 02040000,V-10,R - Vacant Land Residential,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,,,2522010,186067,216 CHURCH ST
0401 02050000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1985,,2522020,185992,214 CHURCH ST
0401 0206000E,E-70,E - Local Gov't (Townships & Boroughs),6,Neighborhood or Spot,E,99046000,R1,1,Public,,Not Listed,,,,2522024,185909,CHURCH ST
0401 0207000E,E-70,E - Local Gov't (Townships & Boroughs),6,Neighborhood or Spot,E,99046000,R1,1,Public,,Not Listed,,,,2521996,185859,CHURCH ST
0401 02080000,V-10,R - Vacant Land Residential,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,,,2521912,185753,208 CHURCH ST
0401 02090000,V-10,R - Vacant Land Residential,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,,,2522281,186488,239 CHURCH ST
0401 02100000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,6,Complete Rehab,,1955,,2522419,186460,410 E THIRD ST
0401 02110000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1900,,2522277,186415,237 CHURCH ST
0401 02120000,V-10,R - Vacant Land Residential,6,Neighborhood or Spot,R,04001000,R1,3,None,,Not Listed,,,,2522518,186273,235 CHURCH ST
0401 02130000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1950,,2522207,186211,223 CHURCH ST
0401 02140000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,6,Complete Rehab,2019,1900,,2522193,186142,221 CHURCH ST
0401 02150000,V-10,R - Vacant Land Residential,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,,,2522268,186018,215 CHURCH ST
0401 02160000,V-10,R - Vacant Land Residential,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,,,2522209,185451,61 BALTIMORE PK
0402 00010000,V-10,R - Vacant Land Residential,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,,,2522569,187307,424 THOMPSON ST
0402 00020000,V-10,R - Vacant Land Residential,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,,,2522538,187165,414 THOMPSON ST
0402 00040000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,2013,,2522515,187013,405 MAPLE ST
0402 00050000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1900,,2522507,186966,521 HENSON ST
0402 00060000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1940,,2522494,186894,519 HENSON ST
0402 00070000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,6,Complete Rehab,2021,1957,,2522483,186810,515 HENSON ST
0402 00080000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1957,,2522463,186732,511 HENSON ST
0402 00090000,V-10,R - Vacant Land Residential,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,,,2522453,186651,509 HENSON ST
0402 00100000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1987,,2522436,186565,409 E THIRD ST
0402 00120000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,6,Complete Rehab,2001,1979,,2522689,187203,413 THOMPSON ST
0402 00120100,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1962,,2522811,186747,605 POPLAR ST
0402 00120200,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1961,,2522622,186782,601 POPLAR ST
0402 00120300,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1964,,2522713,186767,603 POPLAR ST
0402 00120400,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1965,,2522711,186907,604 POPLAR ST
0402 00120500,R-70,R - Mobile Home,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,,,2522676,187025,403 THOMPSON ST
0402 001205A0,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1971,,2522784,186900,606 POPLAR ST
0402 001205B0,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1965,,2522633,186920,602 POPLAR ST
0402 001205C0,V-10,R - Vacant Land Residential,6,Neighborhood or Spot,R,04001000,R1,3,None,,Not Listed,,,,2522778,187005,MAPLE ST
0402 00120600,V-10,R - Vacant Land Residential,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,,,2522778,187216,502 MAPLE ST
0402 0013000E,E-70,E - Local Gov't (Townships & Boroughs),2,Perm. Central Business District,E,04001000,R1,3,None,,Not Listed,,,,2522741,185596,47 BALTIMORE PK
0402 00130100,V-10,R - Vacant Land Residential,2,Perm. Central Business District,R,04001000,R1,3,None,,Not Listed,,,,2522659,185981,55 BALTIMORE PK
0402 00140000,C-80,C - Warehouse,5,Secondary Strip,C,99045000,I1,2,Private,,Not Listed,,,1920,2522764,184939,62 BALTIMORE PK
0402 00140000,C-80,C - Warehouse,5,Secondary Strip,C,99045000,I1,2,Private,,Not Listed,,,1946,2522764,184939,62 BALTIMORE PK
0402 00140000,C-80,C - Warehouse,5,Secondary Strip,C,99045000,I1,2,Private,,Not Listed,,,1930,2522764,184939,62 BALTIMORE PK
0402 00150000,V-10,R - Vacant Land Residential,6,Neighborhood or Spot,R,04001000,I1,3,None,,Not Listed,,,,2522925,185192,297 OLD BALTIMORE PK
0402 00160000,R-70,R - Mobile Home,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,,,2522707,186474,THOMPSON ST
0402 0016000T,T-10,R - Trailers and Mobile Homes,,#NAME?,R,00009000,R1,1,Public,,Not Listed,,,,,,401 THOMPSON ST
0402 00160100,V-10,R - Vacant Land Residential,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,,,2522707,186649,THOMPSON ST
0403 00010000,R-80,"R - Barns,Stables,Pools,Misc Bldg",6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,,,2519730,185493,231 W STATE ST
0403 00010100,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1900,,2519779,184250,231 W STATE ST
0403 00020000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1900,,2519669,184215,235 W STATE ST
0403 00030000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1900,,2519722,184237,233 W STATE ST
0403 00040000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1900,,2520180,184600,141 W STATE ST
0403 00050000,R-80,"R - Barns,Stables,Pools,Misc Bldg",6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,,,2520174,184722,W STATE ST
0403 00050100,V-10,R - Vacant Land Residential,6,Neighborhood or Spot,R,04001000,R1,3,None,,Not Listed,,,,2520040,184810,130 W STATE ST
0403 00060000,R-20,R - Two Family,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1883,,2520306,184664,133 135 W STATE ST
0403 00070000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,C1,1,Public,,Not Listed,,1900,,2520282,184745,129 W STATE ST
